ExpressionStatement-3-0-0-7,"UPD ExpressionStatement@@MethodInvocation:s.execute(""CREATE TABLE NEXT_TXN_ID ("" + ""  NTXN_NEXT bigint NOT NULL)"") @TO@ MethodInvocation:stmt.execute(""CREATE TABLE NEXT_TXN_ID ("" + ""  NTXN_NEXT bigint NOT NULL)"") @AT@ 3056 @LENGTH@ 83
---UPD MethodInvocation@@s.execute(""CREATE TABLE NEXT_TXN_ID ("" + ""  NTXN_NEXT bigint NOT NULL)"") @TO@ stmt.execute(""CREATE TABLE NEXT_TXN_ID ("" + ""  NTXN_NEXT bigint NOT NULL)"") @AT@ 3056 @LENGTH@ 82
------UPD SimpleName@@Name:s @TO@ Name:stmt @AT@ 3056 @LENGTH@ 1

"
SwitchCase-2-0-1-0,"DEL SwitchCase@@SimpleName:SESSIONEXPIRED @AT@ 21748 @LENGTH@ 20
---DEL SimpleName@@SESSIONEXPIRED @AT@ 21753 @LENGTH@ 14

"
FieldDeclaration-2-0-0-3,"UPD FieldDeclaration@@private, static, final, Log, [LOG=LogFactory.getLog(TryProcessor.class)] @TO@ private, static, final, transient, Log, [LOG=LogFactory.getLog(TryProcessor.class)] @AT@ 1317 @LENGTH@ 69
---INS Modifier@@transient @TO@ FieldDeclaration@@private, static, final, Log, [LOG=LogFactory.getLog(TryProcessor.class)] @AT@ 1338 @LENGTH@ 9

"
VariableDeclarationStatement-5-3-0-1,"INS VariableDeclarationStatement@@XMLInputFactory factory=getInputFactory(); @TO@ MethodDeclaration@@public, XMLStreamReader, MethodName:createXMLStreamReader, File file, Exchange exchange, XMLStreamException, FileNotFoundException,  @AT@ 6565 @LENGTH@ 44
---INS SimpleType@@XMLInputFactory @TO@ VariableDeclarationStatement@@XMLInputFactory factory=getInputFactory(); @AT@ 6565 @LENGTH@ 15
---INS VariableDeclarationFragment@@factory=getInputFactory() @TO@ VariableDeclarationStatement@@XMLInputFactory factory=getInputFactory(); @AT@ 6581 @LENGTH@ 27
------INS SimpleName@@factory @TO@ VariableDeclarationFragment@@factory=getInputFactory() @AT@ 6581 @LENGTH@ 7
------INS MethodInvocation@@MethodName:getInputFactory:[] @TO@ VariableDeclarationFragment@@factory=getInputFactory() @AT@ 6591 @LENGTH@ 17

"
ExpressionStatement-4-2-2-1,"UPD ExpressionStatement@@MethodInvocation:registry.registerOperationHandler(LIST_PREPARED_TRANSACTIONS,this,new DescriptionProvider(){
  @Override public ModelNode getModelDescription(  Locale locale){
    return MessagingDescriptions.getNoArgSimpleListReplyOperation(locale,LIST_PREPARED_TRANSACTIONS,HQ_SERVER,ModelType.STRING,true);
  }
}
,readOnly) @TO@ MethodInvocation:registry.registerOperationHandler(LIST_PREPARED_TRANSACTIONS,this,new DescriptionProvider(){
  @Override public ModelNode getModelDescription(  Locale locale){
    return MessagingDescriptions.getNoArgSimpleListReplyOperation(locale,LIST_PREPARED_TRANSACTIONS,HQ_SERVER,ModelType.STRING,true);
  }
}
,readOnlyRuntimeOnly) @AT@ 15527 @LENGTH@ 369
---UPD MethodInvocation@@registry.registerOperationHandler(LIST_PREPARED_TRANSACTIONS,this,new DescriptionProvider(){
  @Override public ModelNode getModelDescription(  Locale locale){
    return MessagingDescriptions.getNoArgSimpleListReplyOperation(locale,LIST_PREPARED_TRANSACTIONS,HQ_SERVER,ModelType.STRING,true);
  }
}
,readOnly) @TO@ registry.registerOperationHandler(LIST_PREPARED_TRANSACTIONS,this,new DescriptionProvider(){
  @Override public ModelNode getModelDescription(  Locale locale){
    return MessagingDescriptions.getNoArgSimpleListReplyOperation(locale,LIST_PREPARED_TRANSACTIONS,HQ_SERVER,ModelType.STRING,true);
  }
}
,readOnlyRuntimeOnly) @AT@ 15527 @LENGTH@ 368
------UPD SimpleName@@MethodName:registerOperationHandler:[LIST_PREPARED_TRANSACTIONS, this, new DescriptionProvider(){
  @Override public ModelNode getModelDescription(  Locale locale){
    return MessagingDescriptions.getNoArgSimpleListReplyOperation(locale,LIST_PREPARED_TRANSACTIONS,HQ_SERVER,ModelType.STRING,true);
  }
}
, readOnly] @TO@ MethodName:registerOperationHandler:[LIST_PREPARED_TRANSACTIONS, this, new DescriptionProvider(){
  @Override public ModelNode getModelDescription(  Locale locale){
    return MessagingDescriptions.getNoArgSimpleListReplyOperation(locale,LIST_PREPARED_TRANSACTIONS,HQ_SERVER,ModelType.STRING,true);
  }
}
, readOnlyRuntimeOnly] @AT@ 15536 @LENGTH@ 359
---------UPD SimpleName@@readOnly @TO@ readOnlyRuntimeOnly @AT@ 15886 @LENGTH@ 8

"
ExpressionStatement-3-0-0-3,"UPD ExpressionStatement@@MethodInvocation:LOG.debug(""Subscribing {} to topic {}"",threadId,topicName) @TO@ MethodInvocation:LOG.info(""Subscribing {} to topic {}"",threadId,topicName) @AT@ 4744 @LENGTH@ 61
---UPD MethodInvocation@@LOG.debug(""Subscribing {} to topic {}"",threadId,topicName) @TO@ LOG.info(""Subscribing {} to topic {}"",threadId,topicName) @AT@ 4744 @LENGTH@ 60
------UPD SimpleName@@MethodName:debug:[""Subscribing {} to topic {}"", threadId, topicName] @TO@ MethodName:info:[""Subscribing {} to topic {}"", threadId, topicName] @AT@ 4748 @LENGTH@ 56

"
MethodDeclaration-2-0-0-1,"UPD MethodDeclaration@@protected, String, MethodName:determineCharSet, MailConfiguration configuration, Exchange exchange,  @TO@ protected, static, String, MethodName:determineCharSet, MailConfiguration configuration, Exchange exchange,  @AT@ 6840 @LENGTH@ 1570
---INS Modifier@@static @TO@ MethodDeclaration@@protected, String, MethodName:determineCharSet, MailConfiguration configuration, Exchange exchange,  @AT@ 7025 @LENGTH@ 6

"
MethodDeclaration-5-2-0-0,"UPD MethodDeclaration@@public, WireTapDefinition, MethodName:copy, boolean copy,  @TO@ public, WireTapDefinition<Type>, MethodName:copy, boolean copy,  @AT@ 7103 @LENGTH@ 95
---INS ParameterizedType@@WireTapDefinition<Type> @TO@ MethodDeclaration@@public, WireTapDefinition, MethodName:copy, boolean copy,  @AT@ 7067 @LENGTH@ 23
------INS SimpleType@@WireTapDefinition @TO@ ParameterizedType@@WireTapDefinition<Type> @AT@ 7067 @LENGTH@ 17
------INS SimpleType@@Type @TO@ ParameterizedType@@WireTapDefinition<Type> @AT@ 7085 @LENGTH@ 4
---DEL SimpleType@@WireTapDefinition @AT@ 7110 @LENGTH@ 17

"
ReturnStatement-2-1-0-0,"DEL ReturnStatement@@SimpleName:result @AT@ 8019 @LENGTH@ 14
---DEL SimpleName@@result @AT@ 8026 @LENGTH@ 6

"
IfStatement-3-1-0-0,"UPD IfStatement@@InfixExpression:pos > 0 @TO@ InfixExpression:pos >= 0 @AT@ 8818 @LENGTH@ 163
---UPD InfixExpression@@pos > 0 @TO@ pos >= 0 @AT@ 8822 @LENGTH@ 7
------UPD Operator@@> @TO@ >= @AT@ 8825 @LENGTH@ 1

"
